INSERT INTO Services (Service_ID, ServiceName, ServiceType) 
VALUES 
(1000, 'Mobile', 'Recharge'),
(1001, 'Mobile', 'Recharge'),
(1002, 'Mobile', 'Recharge'),
(1003, 'Mobile', 'Recharge'),
(1004, 'Mobile', 'Recharge'),
(1005, 'Mobile', 'Recharge'),
(1006, 'Mobile', 'Recharge'),
(1007, 'Mobile', 'Recharge'),
(1008, 'Mobile', 'Recharge'),
(1009, 'Mobile', 'Recharge'),
(1010, 'Mobile', 'Recharge'),
(1011, 'Mobile', 'Recharge'),
(1012, 'Mobile', 'Recharge'),
(1013, 'Mobile', 'Recharge'),
(1014, 'Mobile', 'Recharge'),
(1015, 'Mobile', 'Recharge'),
(1016, 'Mobile', 'Recharge'),
(1017, 'Mobile', 'Recharge'),
(1018, 'Mobile', 'Recharge'),
(1019, 'Mobile', 'Recharge'),
(1020, 'Mobile', 'Recharge'),
(1021, 'Mobile', 'Recharge'),
(1022, 'Mobile', 'Recharge'),
(1023, 'Mobile', 'Recharge'),
(1024, 'Mobile', 'Recharge'),
(1025, 'Mobile', 'Recharge'),
(1026, 'Mobile', 'Recharge'),
(1027, 'Mobile', 'Recharge'),
(1028, 'Mobile', 'Recharge'),
(1029, 'Mobile', 'Recharge'),
(1030, 'Mobile', 'Recharge'),
(1031, 'Mobile', 'Recharge'),
(1032, 'Mobile', 'Recharge'),
(1033, 'Mobile', 'Recharge'),
(1034, 'Mobile', 'Recharge'),
(1035, 'Mobile', 'Recharge'),
(1036, 'Mobile', 'Recharge'),
(1037, 'Mobile', 'Recharge'),
(1038, 'Mobile', 'Recharge'),
(1039, 'Mobile', 'Recharge'),
(1040, 'Mobile', 'Recharge'),
(1041, 'Mobile', 'Recharge'),
(1042, 'Mobile', 'Recharge'),
(1043, 'Mobile', 'Recharge'),
(1044, 'Mobile', 'Recharge'),
(1045, 'Mobile', 'Recharge'),
(1046, 'Mobile', 'Recharge'),
(1047, 'Mobile', 'Recharge'),
(1048, 'Mobile', 'Recharge'),
(1049, 'Mobile', 'Recharge'),
(1050, 'Mobile', 'Recharge');

INSERT INTO Services (Service_ID, ServiceName, ServiceType) 
VALUES 
(1051, 'Flight', 'Travels'),
(1052, 'Train', 'Travels'),
(1053, 'Bus', 'Travels'),
(1054, 'Flight', 'Travels'),
(1055, 'Train', 'Travels'),
(1056, 'Bus', 'Travels'),
(1057, 'Flight', 'Travels'),
(1058, 'Train', 'Travels'),
(1059, 'Bus', 'Travels'),
(1060, 'Flight', 'Travels'),
(1061, 'Train', 'Travels'),
